Boro,Community Board
M,M03
B,B08
M,M11
M,M11
M,M03
X,X12
X,X06
B,B05
M,M03
B,B07
B,B07
M,M03
M,M03
B,B16
X,X03
Q,Q03
M,M03
B,B03
X,X03
B,B04
B,B16
X,X09
M,M03
B,B03
M,M03
B,B06
B,B16
B,B03
X,X03
X,X05
Q,X01
B,B05
M,M03
M,M03
Q,Q12
Q,Q12
B,B06
X,X07
X,X06
R,R03
Q,Q14
B,B03
B,B03
X,X06
B,B01
X,X04
B,B05
X,X12
M,M11
Q,Q12
M,M10
B,B02
B,B02
M,M03
X,X01
B,B02
B,B02
B,B02
B,B02
X,X02
B,B05
X,X05
X,X04
X,X03
X,X04
X,X03
M,M10
M,M10
X,X06
X,X06
X,X03
Q,Q13
M,M03
M,M11
X,X12
M,M10
B,B06
M,M11
X,X01
B,B03
B,B03
M,M11
M,M10
B,B03
M,M02
B,B05
X,X04
B,B03
X,X04
M,M10
B,B05
B,B02
B,B03
X,X06
M,M04
X,X04
M,M10
M,M03
B,B04
B,B05
B,B05
M,M08
X,X06
B,B04
B,B04
B,B04
Q,Q04
X,X01
M,M03
X,X05
B,B05
Q,Q14
Q,Q12
B,B02
X,X07
M,M03
B,B04
X,X02
M,M11
M,M03
M,M12
M,M11
X,X04
X,X06
Q,Q12
M,M12
M,M03
M,M03
M,M11
X,X01
B,B06
B,B05
M,M11
B,B09
M,M09
X,X03
M,M10
X,X01
X,X06
M,M11
X,X01
X,X01
X,X01
M,M03
B,B01
M,M03
M,M10
B,B05
B,B05
B,B05
B,B05
B,B03
B,B05
M,M11
M,M11
X,X01
B,B16
X,X06
B,B16
M,M03
B,B03
M,M03
B,B05
M,M01
M,M10
B,B05
X,X07
X,X07
M,M09
X,X03
M,M07
M,M11
M,M09
M,M10
B,B03
B,B03
X,X04
X,X06
B,B03
X,X04
M,M10
B,B06
X,X06
M,M09
M,M03
B,B05
Q,Q12
Q,Q12
M,M12
Q,Q13
B,B02
B,B05
B,B16
B,B05
X,X09
B,B05
B,B04
B,B04
X,X04
B,B01
B,B05
B,B06
B,B03
Q,Q02
B,B02
B,B05
B,B03
B,B03
B,B05
X,X09
M,M11
M,M10
M,M10
B,B03
B,B03
B,B03
B,B01
B,B05
M,M11
B,B05
M,M04
B,B05
B,B02
M,M11
M,M03
M,M09
X,X06
B,B16
B,B16
B,B16
M,M11
B,B06
M,M12
X,X06
M,M12
B,B11
B,B05
B,B12
B,B01
M,M12
B,B11
B,B08
X,X01
X,X03
B,B02
M,M11
X,X03
X,X03
X,X03
B,B03
X,X03
X,X03
B,B05
B,B05
B,B16
X,X08
X,X12
R,R01
Q,Q08
B,B06
B,B03
B,B05
X,X03
M,M10
M,M03
B,B03
X,X06
M,M11
M,M11
X,X01
B,B04
X,X04
M,M07
M,M03
M,M02
X,X04
X,X01
X,X05
B,B03
M,M11
B,B09
B,B06
Q,Q12
B,B04
M,M11
M,M03
Q,Q01
M,M03
M,M11
M,M03
M,M03
M,M03
X,X11
Q,Q09
B,B08
B,B09
M,N/A
B,B09
B,B03
B,B04
B,B04
B,B03
M,M09
M,M11
M,M11
Q,Q03
B,B08
B,B05
X,X09
B,B16
M,M10
X,X10
Q,Q03
Q,Q12
B,B16
X,X01
Q,Q12
M,M02
X,X02
X,X06
M,M03
M,M09
M,M07
X,X03
M,M12
X,X04
B,B03
B,B05
X,X01
M,M09
B,B08
M,M11
M,M10
B,B03
B,B03
X,X02
B,B05
B,B16
B,B01
X,X03
B,B01
M,M04
B,B01
M,M03
M,M03
B,B01
B,B05
M,M10
X,X07
B,B06
M,M04
M,M04
M,M12
B,B18
Q,Q07
B,B16
X,X09
Q,Q06
B,B05
B,B16
X,X04
B,B12
B,B12
B,B17
M,M10
X,X03
B,B01
Q,Q04
M,M10
M,M10
B,B17
X,X05
X,X06
B,N/A
M,M10
B,B08
X,X06
B,B11
B,B14
B,B01
B,B17
B,B06
X,X01
B,B14
M,M03
B,B06
X,X05
B,B17
M,M12
B,B05
Q,Q12
Q,Q05
B,B05
M,M04
B,B05
B,B14
X,N/A
X,X01
B,B02
B,B02
M,M10
B,B06
Q,N/A
Q,Q05
B,B08
X,X10
Q,Q10
M,M12
M,N/A
B,B02
X,X01
B,B05
X,X01
M,M11
X,X02
M,M03
X,X01
B,B03
B,B03
R,R01
M,M11
M,M03
Q,Q11
B,B04
B,B16
M,M11
B,B03
B,B18
B,B02
B,B05
B,B16
B,B16
B,B01
B,B16
Q,Q06
B,B01
B,B05
B,B08
M,M11
X,X03
B,B08
X,X09
B,B03
B,B07
B,B01
M,M03
M,M10
M,M12
X,X07
X,X06
M,M09
X,X04
M,M11
B,B14
M,M03
B,B13
X,X02
Q,Q14
B,B03
M,M03
B,B13
M,M09
B,B05
X,X04
X,X04
B,B05
B,B03
B,B16
B,B08
X,X01
B,B03
X,X01
B,B05
B,B08
B,B08
B,B16
B,B03
B,B16
B,B05
M,M03
M,M09
B,B06
B,B03
B,B01
B,B13
X,X04
X,X04
B,B03
M,M11
M,M11
B,B01
B,B05
B,B05
X,X05
M,M03
B,B03
X,X06
B,B05
Q,Q01
B,B05
B,B03
M,M10
B,B13
B,B05
M,M03
B,B03
B,B03
B,B03
B,B03
B,B13
X,X03
B,B03
M,M11
M,M11
X,X01
B,B08
X,X07
X,X01
B,B06
X,X09
B,B03
M,M07
M,M09
M,M10
M,M10
M,M10
M,M12
M,M07
B,B08
R,R01
M,M09
M,M10
B,B05
X,X02
B,BK4
X,X04