,,,,,,,,Number of Days with Maximum 8-Hour Ozone Average > 75 ppb,,,,,,,,,,,,,,,,,
Park,Site Name,Site Code,Number of Years with Exceedance,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Acadia National Park,Cadillac Mountain,ACAD-CM,16,,,,,,,4,11,10,15,14,5,18,18,7,8,9,5,10,1,2,4
Acadia National Park,Headquarters,ACAD-HQ,9,5,6,12,6,6,1,11,3,4,,,,,,,,,,,,,
Acadia National Park,McFarland Hill,ACAD-MH,10,,,,,,,,,,9,8,,17,10,5,3,1,,9,,2,2
Bandelier National Monument,,BAND-XX,2,,,1,,,1,,,,,,,,,,,,,,,,
Big Bend National Park,K-Bar Ranch Road,BIBE-KB,2,,,,,,2,,2,,,,,,,,,,,,,,
Big Thicket NPRS,Radio Tower,BITH-XX,4,4,4,2,2,,,,,,,,,,,,,,,,,,
Cape Cod National Seashore,,CACO-XX,22,21,15,30,15,10,11,16,15,24,10,19,10,17,17,16,6,15,12,12,3,2,4
Canyonlands National Park,Island in the Sky,CANY-IS,8,,,,,,,1,1,,1,1,4,,,1,1,,,,,,1
Chamizal National Memorial,,CHAM-XX,17,,,,3,,3,5,4,2,11,1,8,2,6,2,1,2,6,3,3,,1
Chiricahua National Monument,Entrance Station,CHIR-ES,7,,2,2,,,,,,,,1,,,1,1,,,1,,,1,
Channel Islands National Park,Santa Rosa Island,CHIS-XX,4,,,,,,,,3,,,2,1,,,,3,,,,,,
Congaree National Park,Congaree Bluff,COSW-BL,8,,,,,,,,,,,,3,4,11,3,1,3,2,2,,,
Congaree Swamp National Monument,,COSW-XX,9,4,11,,1,,1,4,2,,8,10,1,,,,,,,,,,
Cowpens National Battlefield,State Monitor,COWP-SM,19,10,2,7,12,13,8,16,9,28,34,27,21,10,31,5,,8,5,,6,,1
Craters of the Moon National Monument,Visitor Center,CRMO-VC,2,,,,,,,,1,,,,,,,1,,,,,,,
Denali National Park,Headquarters,DENA-HQ,1,,,,,,,,,,,,,,,,,,,,1,,
Death Valley National Park,Park Village,DEVA-PV,15,,,,,,16,,7,6,13,10,8,10,12,11,9,23,9,18,4,,1
Everglades National Park,Beard Center,EVER-BC,6,1,,,,1,,,1,,2,3,,,,1,,,,,,,
Great Basin National Park,Maintenance Yard,GRBA-MY,14,,,,,,,,2,1,1,2,4,1,2,1,3,2,1,3,1,,1
Grand Canyon National Park,The Abyss,GRCA-AB,1,,,,1,,,,,,,,,,,,,,,,,,
Grand Canyon National Park,The Abyss,GRCA-AS,9,,,,,,1,,2,,,5,2,,12,2,2,4,1,,,,
Great Smoky Mountains National Park,Cades Cove,GRSM-CC,13,,,,,,4,5,4,11,20,28,9,3,16,2,,,,3,1,,1
Great Smoky Mountains National Park,Clingmans Dome,GRSM-CD,15,,,,,,4,17,24,35,65,65,62,27,48,10,4,7,20,35,9,,7
Great Smoky Mountains National Park,Cove Mountain,GRSM-CM,21,11,13,22,3,24,24,44,32,48,67,70,46,44,61,10,3,11,19,25,7,,11
Great Smoky Mountains National Park,Look Rock,GRSM-LR,22,10,17,5,10,14,23,32,28,45,58,67,38,19,53,23,12,30,17,31,14,1,11
Great Smoky Mountains National Park,Purchase Knob,GRSM-PK,14,,,,,,,10,7,21,27,53,20,6,39,9,1,17,2,6,5,,
Indiana Dunes National Lakeshore,Headquarters,INDU-HQ,6,,,,,,,,,,20,25,2,11,22,8,,,,,,,
Indiana Dunes National Lakeshore,Ammunition Bunker,INDU-AB,1,,,,,,,,,,,,,,,,,,,,,,1
Isle Royale National Park,Ojibway Fire Tower,ISRO-OJ,1,2,,,,,,,,,,,,,,,,,,,,,
Joshua Tree National Park,Black Rock,JOTR-BR,17,,,,,,111,63,87,74,44,74,54,6,63,62,69,59,66,80,72,59,53
Joshua Tree National Monument,Lost Horse Ranger Station,JOTR-XX,7,40,26,60,57,29,,,,,,,,,,,,,,,,11,8
Lassen Volcanic National Park,Manzanita Lake Fire Stn.,LAVO-ML,15,1,5,,,,8,1,1,1,6,8,3,1,2,,,1,1,4,8,,
Mammoth Cave National Park,Great Onyx Meadow,MACA-GO,9,15,11,6,2,2,3,13,10,4,,,,,,,,,,,,,
Mammoth Cave National Park,Houchin Meadow,MACA-HM,10,,,,,,,,,7,31,47,14,8,14,4,,3,,15,,,2
Mesa Verde National Park,Resource Mngment Area,MEVE-RM,6,,,,,,,,,,,,3,,1,1,,4,2,,,,1
Mount Rainier National Park,Jackson Visitor's Center,MORA-JV,4,,,,,,,,,,1,1,,1,,7,,,,,,,
Mount Rainier National Park,Tahoma Woods,MORA-TW,3,,,,,,2,,,,,1,,,,1,,,,,,,
Petrified Forest National Park,South Entrance,PEFO-SE,4,,,,,,,,,,,,,,,1,1,2,1,,,,
Petrified Forest National Park,,PEFO-XX,2,4,,2,,,,,,,,,,,,,,,,,,,
Pinnacles National Monument,SW of East Entrance Stn.,PINN-ES,21,13,13,16,12,11,8,16,30,5,14,10,8,8,22,8,5,2,6,3,12,,1
Rocky Mountain National Park,Long's Peak,ROMO-LP,18,,,4,1,1,4,4,1,,7,2,10,1,25,19,1,2,4,5,4,,6
Saguaro National Park,Pima County,SAGU-PC,16,,2,3,2,13,9,13,5,6,4,1,1,,5,5,,8,5,,1,,
Santa Monica Mountains Nat. Rec. Area,,SAMO-XX,4,70,66,57,6,,,,,,,,,,,,,,,,,,
Sequoia and Kings Canyon National Parks,Ash Mountain - old site,SEKI-AM,8,83,81,93,85,82,95,76,92,,,,,,,,,,,,,,
Sequoia and Kings Canyon National Parks,Ash Mountain,SEKI-AS,12,,,,,,,,,,,72,58,116,110,108,82,78,85,83,74,72,66
Sequoia and Kings Canyon National Parks,Grant Grove,SEKI-GG,6,,56,57,83,49,89,41,,,,,,,,,,,,,,,
Sequoia and Kings Canyon National Parks,Lower Kaweah,SEKI-LK,22,58,62,61,85,89,74,49,87,49,47,65,32,65,107,73,44,56,62,70,73,18,9
Sequoia and Kings Canyon National Parks,Lookout Point,SEKI-LP,8,,,,,,,,,77,59,104,94,88,106,86,95,,,,,,
Shenandoah National Park,Big Meadows,SHEN-BM,20,3,15,14,7,17,12,27,16,15,40,46,11,15,22,9,3,8,6,,5,,3
Shenandoah National Park,Dickey Ridge,SHEN-DR,6,11,12,12,2,5,6,,,,,,,,,,,,,,,,
Shenandoah National Park,Sawmill Run,SHEN-SR,6,1,7,4,2,9,3,,,,,,,,,,,,,,,,
Voyageurs National Park,Near Black Bay,VOYA-BB,1,,,,,,,1,,,,,,,,,,,,,,,
Voyageurs National Park,Sullivan Bay,VOYA-SB,5,,,,,,,,,2,1,2,1,,,,,2,,,,,
Wind Cave National Park,Visitor Center,WICA-VC,2,,,,,,,,,,,,,,,,,1,2,,,,
Yellowstone National Park,Water Tank,YELL-WT,3,,,,,,,,,,,1,,,,,,,1,,,1,
Yosemite National Park,Camp Mather,YOSE-CM,8,2,2,4,2,7,14,7,8,,,,,,,,,,,,,,
Yosemite National Park,Merced River,YOSE-MR,1,,,,,,,,,,,,,,1,,,,,,,,
Yosemite National Park,Turtleback Dome,YOSE-TD,20,,8,61,21,,48,32,40,9,26,29,28,22,63,43,37,16,27,27,30,9,7
Yosemite National Park,Wawona Valley,YOSE-WV,8,14,45,10,23,8,5,13,16,,,,,,,,,,,,,,
Yosemite National Park,Yosemite Valley,YOSE-YV,4,,8,,2,5,6,,,,,,,,,,,,,,,,
Zion National Park,Dalton's Wash,ZION-DW,6,,,,,,,,,,,,,,,,3,8,1,2,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
*  Only parks with monitors that recorded exceedances are listed.,,,,,,,Category,,,,,Exceedances / year,,,,,,,,,,,,,
,,,,,,,No data or no exceedances,,,,,0,,,,,,,,,,,,,
"The current National Ambient Air Quality Standard (NAAQS) is 75 ppb, daily maximum 8-hour average. An exceedance occurs when the daily maximum 8-hour average is greater than 75 ppb.  In 1997 the National Ambient Air Quality Standard for ozone changed from 85 ppb to 75 ppb.",,,,,,,Moderate,,,,,1-3,,,,,,,,,,,,,
,,,,,,,Serious,,,,,4-29,,,,,,,,,,,,,
,,,,,,,Severe,,,,,30 +,,,,,,,,,,,,,
,,,,,,,"Informational, not an EPA designation",,,,,,,,,,,,,,,,,,
